Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Tomkiewicz, Aleshia | Visited Node Sequence : ->(Empty root node)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Zelaya, German | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(R)->Writer, Fernanda(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Savidge, Milly | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->Sitra, Tess(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Ear, Luis | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Cobbley, Ciara | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Mould, Alethea | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Loperfido, Margurite | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Sperazza, Vernice | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->Sitra, Tess(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Rawicki, Vicente | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Cua, Craig | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Dulle, Jenise | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Cornelison, Marylin | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Gunst, Marget | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(L)->Gutierres, Peter(L)->Growcock, Augustine(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Bunselmeyer, Annett | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Turziano, Kip | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(L)->Veigel, Tamesha(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Orizabal, Melina | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Clapham, Tina | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(L)->Bunselmeyer, Annett(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Devereux, Luisa | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(R)->Dulle, Jenise(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Aschoff, Pedro | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kunimitsu, Carrol | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(L)->Kufner, Leonard(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Mosseri, Alba | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Sandlin, Domonique | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->Sitra, Tess(L)->Savidge, Milly(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Neufville, Rory | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(R)->Orizabal, Melina(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Klingaman, Dustin | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(L)->Kufner, Leonard(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Moonshower, Lyndia | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(L)->Mosseri, Alba(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Hiltner, Jules | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(L)->Gutierres, Peter(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kopczynski, Dong | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(L)->Kufner, Leonard(L)->Klingaman, Dustin(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Salta, Justine | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(L)->Rawicki, Vicente(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kamens, Chantay | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->Jaret, Corrinne(R)->Kanne, Edgar(L)->Julio, Dewitt(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Chisum, Tequila | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(L)->Bunselmeyer, Annett(R)->Clapham, Tina(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Consolazio, Maybelle | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(L)->Cornelison, Marylin(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Bairo, Margarett | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(L)->Aschoff, Pedro(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Noonon, Janessa | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(R)->Orizabal, Melina(L)->Neufville, Rory(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Cowser, Sol | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(L)->Cornelison, Marylin(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Smethers, Louann | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->Sitra, Tess(R)->Sperazza, Vernice(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Yadao, Lindsay | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(R)->Writer, Fernanda(R)->Zelaya, German(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Hanton, Malika | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(L)->Gutierres, Peter(R)->Hiltner, Jules(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Ferenz, Stefany | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(R)->Gastellum, Rueben(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Cratch, Abraham | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(L)->Cornelison, Marylin(R)->Cowser, Sol(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Rohaley, Giuseppe | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(L)->Rawicki, Vicente(R)->Salta, Justine(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Bassil, Kiera | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(L)->Aschoff, Pedro(R)->Bairo, Margarett(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Rubano, Wendell | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(L)->Rawicki, Vicente(R)->Salta, Justine(L)->Rohaley, Giuseppe(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Stifflemire, Stevie | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(R)->Teplica, Martha(L)->Tauras, Svetlana(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Paletta, Yun | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(R)->Orizabal, Melina(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Thurm, Brittani | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Venus, Billy | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(R)->Writer, Fernanda(L)->Weisinger, Reed(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Elkan, Brynn | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Piehler, Elroy | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(L)->Molaison, Pok(R)->Quarto, Karma(L)->Mould, Alethea(R)->Orizabal, Melina(R)->Paletta, Yun(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Shulick, Anisha | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(R)->Rampy, Eric(R)->Throssell, Michell(L)->Spinello, Charisse(L)->Salvadore, Octavio(R)->Sitra, Tess(L)->Savidge, Milly(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Kham, Bettina | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->Jaret, Corrinne(R)->Kanne, Edgar(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Mancilla, Velda | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(R)->Lapinski, Mee(R)->Loperfido, Margurite(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Brace, Marta | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(L)->Aschoff, Pedro(R)->Bairo, Margarett(R)->Bassil, Kiera(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Vanwyhe, Juan | Visited Node Sequence : ->Tomkiewicz, Aleshia(R)->Zigomalas, Evan(L)->Veness, Tyisha(L)->Veigel, Tamesha(L)->Turziano, Kip(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Filion, Lelia | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(R)->Gastellum, Rueben(L)->Ferenz, Stefany(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Frankel, Una | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(R)->Gastellum, Rueben(L)->Ferenz, Stefany(R)->Filion, Lelia(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Joulwan, Eva | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(R)->Hisaw, Laquita(R)->Manzella, Lura(L)->Klapec, Yuette(L)->Jaret, Corrinne(R)->Kanne, Edgar(L)->Julio, Dewitt(L)->(Empty left child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Dormanen, Mammie | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(R)->Dulle, Jenise(L)->Devereux, Luisa(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Coolidge, Jeannetta | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(L)->Cornelison, Marylin(L)->Consolazio, Maybelle(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Drawe, Elbert | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(L)->Bruch, Niesha(R)->Ear, Luis(L)->Cobbley, Ciara(R)->Cua, Craig(R)->Dulle, Jenise(L)->Devereux, Luisa(R)->Dormanen, Mammie(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Gazzola, Lenny | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(R)->Mcwalters, Ulysses(L)->Grasmick, Marg(L)->Erm, Charlesetta(R)->Gastellum, Rueben(R)->(Empty right child)
Time: 2024-05-26 22:57:23 | Operation: put | Member Name: Alpheaus, Mira | Visited Node Sequence : ->Tomkiewicz, Aleshia(L)->Andrade, France(L)->(Empty left child)
